Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
23:07:04 Feb 27 2024,92,72,0,0,0
23:07:08 Feb 27 2024,92,72,0,0,0
23:07:12 Feb 27 2024,91,73,0,0,0
23:07:16 Feb 27 2024,91,73,0,0,0
23:07:20 Feb 27 2024,90,73,0,0,0
23:07:24 Feb 27 2024,91,75,0,0,0
23:07:28 Feb 27 2024,91,76,0,0,0
23:07:32 Feb 27 2024,92,75,0,0,0
23:07:36 Feb 27 2024,92,73,0,0,0
23:07:40 Feb 27 2024,92,72,0,0,0
23:07:44 Feb 27 2024,92,71,0,0,0
23:07:48 Feb 27 2024,94,71,0,0,0
23:07:52 Feb 27 2024,94,72,0,0,0
23:07:56 Feb 27 2024,93,72,0,0,0
23:08:00 Feb 27 2024,92,74,0,0,0
23:08:04 Feb 27 2024,93,74,0,0,0
23:08:08 Feb 27 2024,92,74,0,0,0
23:08:12 Feb 27 2024,91,75,0,0,0
23:08:16 Feb 27 2024,91,73,0,0,0
23:08:20 Feb 27 2024,91,71,0,0,0
23:08:24 Feb 27 2024,93,71,0,0,0
23:08:28 Feb 27 2024,93,71,0,0,0
23:08:32 Feb 27 2024,93,72,0,0,0
23:08:36 Feb 27 2024,94,73,0,0,0
23:08:40 Feb 27 2024,94,72,0,0,0
23:08:44 Feb 27 2024,94,71,0,0,0
23:08:48 Feb 27 2024,94,71,0,0,0
23:08:52 Feb 27 2024,93,70,0,0,0
23:08:56 Feb 27 2024,93,71,0,0,0
23:09:00 Feb 27 2024,93,72,0,0,0
23:09:04 Feb 27 2024,94,71,0,0,0
23:09:08 Feb 27 2024,93,70,0,0,0
23:09:12 Feb 27 2024,93,72,0,0,0
23:09:16 Feb 27 2024,93,72,0,0,0
23:09:20 Feb 27 2024,93,71,0,0,0
23:09:24 Feb 27 2024,93,73,0,0,0
23:09:28 Feb 27 2024,93,76,0,0,0
23:09:32 Feb 27 2024,94,75,0,0,0
23:09:36 Feb 27 2024,94,71,0,0,0
23:09:40 Feb 27 2024,94,71,0,0,0
23:09:44 Feb 27 2024,93,72,0,0,0
23:09:48 Feb 27 2024,93,72,0,0,0
23:09:52 Feb 27 2024,93,71,0,0,0
23:09:56 Feb 27 2024,93,72,0,0,0
23:10:00 Feb 27 2024,94,72,0,0,0
23:10:04 Feb 27 2024,94,71,0,0,0
23:10:08 Feb 27 2024,94,70,0,0,0
23:10:12 Feb 27 2024,94,71,0,0,0
23:10:16 Feb 27 2024,94,72,0,0,0
23:10:20 Feb 27 2024,95,71,0,0,0
23:10:24 Feb 27 2024,95,71,0,0,0
23:10:28 Feb 27 2024,95,72,0,0,0
23:10:32 Feb 27 2024,94,71,0,0,0
23:10:36 Feb 27 2024,94,71,0,0,0
23:10:40 Feb 27 2024,94,72,0,0,0
23:10:44 Feb 27 2024,94,73,0,0,0
23:10:48 Feb 27 2024,94,72,0,0,0
23:10:52 Feb 27 2024,94,71,0,0,0
23:10:56 Feb 27 2024,94,71,0,0,0
23:11:00 Feb 27 2024,94,72,0,0,0
23:11:04 Feb 27 2024,94,73,0,0,0
23:11:08 Feb 27 2024,94,73,0,0,0
23:11:12 Feb 27 2024,93,72,0,0,0
23:11:16 Feb 27 2024,93,72,0,0,0
23:11:20 Feb 27 2024,94,71,0,0,0
23:11:24 Feb 27 2024,93,70,0,0,0
23:11:28 Feb 27 2024,93,70,0,0,0
23:11:32 Feb 27 2024,93,72,0,0,0
23:11:36 Feb 27 2024,94,74,0,0,0
23:11:40 Feb 27 2024,95,73,0,0,0
23:11:44 Feb 27 2024,95,70,0,0,0
23:11:48 Feb 27 2024,95,69,0,0,0
23:11:52 Feb 27 2024,94,71,0,0,0
23:11:56 Feb 27 2024,95,72,0,0,0
23:12:00 Feb 27 2024,95,71,0,0,0
23:12:04 Feb 27 2024,95,72,0,0,0
23:12:08 Feb 27 2024,95,72,0,0,0
23:12:12 Feb 27 2024,95,72,0,0,0
23:12:16 Feb 27 2024,94,71,0,0,0
23:12:20 Feb 27 2024,94,71,0,0,0
23:12:24 Feb 27 2024,94,72,0,0,0
23:12:28 Feb 27 2024,93,72,0,0,0
23:12:32 Feb 27 2024,93,71,0,0,0
23:12:36 Feb 27 2024,93,70,0,0,0
23:12:40 Feb 27 2024,93,71,0,0,0
23:12:44 Feb 27 2024,93,72,0,0,0
23:12:48 Feb 27 2024,93,72,0,0,0
23:12:52 Feb 27 2024,93,72,0,0,0
23:12:56 Feb 27 2024,94,71,0,0,0
23:13:00 Feb 27 2024,95,70,0,0,0
23:13:04 Feb 27 2024,94,72,0,0,0
23:13:08 Feb 27 2024,94,74,0,0,0
23:13:12 Feb 27 2024,94,74,0,0,0
23:13:16 Feb 27 2024,94,72,0,0,0
23:13:20 Feb 27 2024,94,72,0,0,0
